iter	Passed	Remaining
0	1	193
1	4	240
2	7	237
3	9	216
4	10	208
5	12	199
6	14	191
7	16	184
8	18	184
9	20	186
10	23	191
11	25	186
12	27	182
13	29	179
14	30	174
15	32	172
16	34	167
17	35	161
18	36	156
19	38	152
20	39	147
21	40	143
22	41	140
23	43	136
24	44	134
25	46	131
26	47	128
27	48	125
28	50	122
29	51	120
30	53	118
31	54	115
32	55	112
33	56	110
34	58	108
35	60	106
36	61	104
37	62	102
38	64	100
39	65	97
40	66	95
41	66	92
42	68	90
43	69	88
44	70	86
45	71	84
46	73	82
47	74	80
48	75	78
49	76	76
50	77	74
51	79	73
52	80	71
53	81	69
54	82	67
55	83	65
56	84	63
57	86	62
58	87	60
59	88	59
60	90	57
61	91	56
62	93	54
63	94	53
64	95	51
65	97	50
66	98	48
67	99	46
68	101	45
69	102	44
70	104	42
71	105	41
72	107	39
73	108	38
74	109	36
75	111	35
76	112	33
77	114	32
78	115	30
79	116	29
80	117	27
81	119	26
82	120	24
83	121	23
84	123	21
85	124	20
86	125	18
87	127	17
88	128	15
89	129	14
90	131	13
91	133	11
92	134	10
93	135	8
94	136	7
95	138	5
96	139	4
97	140	2
98	141	1
99	143	0
